24	23
27	25
31	18
42	31
47	46
48	22
53	45
57	55
60	12
60	17
60	19
60	40
64	25
64	27
64	63
65	45
65	53
66	45
66	53
66	65
69	45
69	53
69	65
69	66
71	11
71	34
71	37
71	46
76	16
77	18
78	16
78	76
80	11
82	19
82	42
82	44
83	19
83	64
84	19
84	51
84	59
84	83
87	71
88	45
88	53
88	65
88	66
88	69
90	55
90	57
92	11
96	31
97	26
99	91
100	48
101	42
101	62
101	98
102	64
105	25
105	27
106	62
106	101
106	102
109	23
109	24
110	20
111	108
112	89
113	70
113	75
114	79
116	25
116	27
116	105
117	100
119	25
119	27
119	105
119	116
121	49
124	104
125	19
125	83
125	84
127	49
127	121
132	25
132	27
132	105
132	116
132	119
133	11
133	87
133	125
135	89
135	112
136	114
136	132
137	49
137	121
137	127
140	45
140	53
140	65
140	66
140	69
140	88
141	25
141	27
141	105
141	116
141	119
141	132
142	70
142	104
144	104
144	124
144	142
146	23
146	24
146	109
148	142
148	146
150	112
150	135
153	43
153	89
153	97
155	40
155	60
155	74
155	91
155	99
156	16
156	78
156	98
157	45
157	53
157	65
157	66
157	69
157	88
157	140
159	21
159	78
159	115
159	120
159	156
162	64
162	96
164	25
164	27
164	108
164	111
165	62
165	93
165	101
165	114
165	136
166	11
166	46
166	51
166	71
166	87
166	125
166	133
167	49
167	121
167	127
167	137
168	108
168	111
168	164
170	31
170	43
172	25
172	27
172	100
172	105
172	116
172	117
172	119
172	141
175	79
175	114
176	62
176	93
176	101
176	114
176	136
176	165
178	108
178	111
178	164
178	168
179	62
179	93
179	101
179	114
179	136
179	165
179	176
180	45
180	53
180	65
180	66
180	69
180	88
180	140
180	157
181	93
181	165
181	176
181	179
182	11
182	78
183	114
183	146
183	165
183	176
183	179
184	49
184	121
184	127
184	137
184	167
186	18
186	47
187	49
187	121
187	127
187	137
187	167
187	184
190	132
190	136
195	16
195	75
195	76
196	71
196	87
196	133
196	166
201	162
203	182
204	76
204	78
206	79
206	114
206	175
207	45
207	53
207	65
207	66
207	69
207	88
207	140
207	157
207	180
208	31
208	64
208	162
209	70
209	83
209	113
209	144
210	104
210	124
210	144
215	16
215	19
215	21
215	78
215	80
215	156
215	162
215	195
216	11
216	40
216	60
216	155
216	182
216	201
217	18
217	21
217	156
217	159
217	162
217	215
218	18
218	208
219	16
219	78
219	106
219	156
219	203
220	125
220	133
220	190
220	208
221	101
221	156
222	25
222	27
222	105
222	116
222	119
222	132
222	141
222	172
224	37
224	46
224	47
224	91
224	99
224	216
225	55
225	57
225	90
226	89
226	164
227	43
227	106
227	114
228	25
228	27
228	105
228	116
228	119
228	132
228	141
228	172
228	222
229	49
229	121
229	127
229	137
229	167
229	184
229	187
232	45
232	53
232	65
232	66
232	69
232	88
232	140
232	157
232	180
232	207
233	72
235	59
235	82
235	84
235	133
239	211
240	55
240	57
240	90
240	225
242	59
243	46
243	47
243	166
243	190
243	224
244	108
244	111
244	164
244	168
244	178
245	19
245	38
245	60
245	102
247	46
247	102
247	243
249	120
250	76
250	101
250	204
251	87
251	120
251	159
251	196
251	235
252	64
252	83
252	96
252	105
252	116
252	119
252	141
252	162
252	201
252	222
252	228
253	70
253	133
253	235
253	236
253	251
254	19
254	83
254	84
254	115
254	125
254	227
254	245
255	64
255	83
255	96
255	105
255	116
255	119
255	141
255	162
255	201
255	222
255	228
255	252
256	18
256	31
256	42
256	71
256	115
256	159
256	170
256	217
256	250
256	253
258	18
258	21
258	115
258	215
258	253
258	256
259	18
259	47
259	186
260	82
261	38
261	245
262	49
262	121
262	127
262	137
262	167
262	184
262	187
262	229
263	84
263	101
264	12
264	17
264	18
264	60
264	102
264	117
264	245
265	48
265	136
265	153
265	216
266	45
266	53
266	65
266	66
266	69
266	88
266	140
266	157
266	180
266	207
266	232
267	28
267	164
267	208
268	104
268	124
268	144
268	210
271	74
271	155
272	31
272	96
272	162
272	252
272	255
273	38
273	245
273	261
